o,d,count
7号线上大路,7号线南陈路,105
7号线上大路,7号线场中路,480
7号线上海大学,7号线南陈路,395
7号线上海大学,7号线祁华路,97
7号线东安路,4号线东安路,113
7号线东安路,7号线肇嘉浜路,467
7号线东安路,7号线龙华中路,147
7号线云台路,7号线耀华路,386
7号线云台路,7号线高科西路,164
7号线刘行,7号线潘广路,34
7号线刘行,7号线顾村公园,140
7号线南陈路,7号线上大路,433
7号线南陈路,7号线上海大学,105
7号线后滩,7号线长清路,130
7号线后滩,7号线龙华中路,480
7号线场中路,7号线上大路,118
7号线场中路,7号线大场镇,599
7号线大华三路,7号线新村路,921
7号线大华三路,7号线行知路,160
7号线大场镇,7号线场中路,127
7号线大场镇,7号线行知路,632
7号线岚皋路,7号线新村路,195
7号线岚皋路,7号线镇坪路,1105
7号线常熟路,1号线常熟路,136
7号线常熟路,7号线肇嘉浜路,450
7号线常熟路,7号线静安寺,601
7号线新村路,7号线大华三路,170
7号线新村路,7号线岚皋路,1052
7号线昌平路,7号线长寿路,336
7号线昌平路,7号线静安寺,877
7号线杨高南路,7号线锦绣路,193
7号线杨高南路,7号线高科西路,327
7号线潘广路,7号线刘行,91
7号线潘广路,7号线罗南新村,31
7号线祁华路,7号线上海大学,284
7号线祁华路,7号线顾村公园,97
7号线罗南新村,7号线潘广路,76
7号线罗南新村,7号线美兰湖,26
7号线美兰湖,7号线罗南新村,53
7号线耀华路,7号线云台路,160
7号线耀华路,7号线长清路,402
7号线耀华路,8号线耀华路,125
7号线肇嘉浜路,7号线东安路,210
7号线肇嘉浜路,7号线常熟路,489
7号线肇嘉浜路,9号线肇嘉浜路,316
7号线花木路,7号线龙阳路,9
7号线芳华路,7号线锦绣路,114
7号线芳华路,7号线龙阳路,331
7号线行知路,7号线大华三路,774
7号线行知路,7号线大场镇,141
7号线锦绣路,7号线杨高南路,198
7号线锦绣路,7号线芳华路,246
7号线镇坪路,3号线镇坪路,268
7号线镇坪路,4号线镇坪路,92
7号线镇坪路,7号线岚皋路,254
7号线镇坪路,7号线长寿路,934
7号线长寿路,13号线长寿路,51
7号线长寿路,7号线昌平路,875
7号线长寿路,7号线镇坪路,192
